Gene,Description,A11.C636,A11,E9,HAP1.C597,KBM7
EIF2AK1,eukaryotic translation initiation factor 2-alpha kinase 1,8.42,6.99,6.47,7.95,6.41
EIF2AK2,eukaryotic translation initiation factor 2-alpha kinase 2,1.79,1.60,1.52,1.71,1.18
EIF2AK3,eukaryotic translation initiation factor 2-alpha kinase 3,0.40,0.36,0.30,0.42,0.40
EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4,1.50,1.18,1.08,1.51,1.14
EIF2B1,"eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa",9.48,8.31,8.62,9.09,6.41
EIF2B2,"eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa",9.83,9.16,9.68,9.12,3.99
EIF2B3,"eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa",0.46,0.35,0.36,0.49,0.33
EIF2B4,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa",9.27,9.43,11.49,8.74,5.99
EIF2B5,"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa",10.44,10.45,10.08,10.17,9.76
EIF2D,eukaryotic translation initiation factor 2D,3.56,3.71,3.76,3.39,4.92
EIF2S1,"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa",8.43,6.26,5.87,8.23,4.18
EIF2S2,"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa",9.33,6.40,6.37,8.43,6.42
EIF2S3,"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa",29.01,22.78,21.83,27.52,34.80
EIF2S3L,Putative eukaryotic translation initiation factor 2 subunit 3-like protein ,9.83,7.67,7.11,9.61,11.01
EIF3A,"eukaryotic translation initiation factor 3, subunit A",12.76,13.66,12.97,13.09,10.58
EIF3B,"eukaryotic translation initiation factor 3, subunit B",20.91,19.27,19.36,21.35,11.38
EIF3C,"eukaryotic translation initiation factor 3, subunit C",11.54,10.29,11.27,11.55,7.59
EIF3CL,"eukaryotic translation initiation factor 3, subunit C-like",10.96,10.38,11.38,10.87,7.06
EIF3D,"eukaryotic translation initiation factor 3, subunit D",16.04,15.50,17.24,15.77,22.79
EIF3E,"eukaryotic translation initiation factor 3, subunit E",8.20,6.33,5.99,8.27,31.15
EIF3G,"eukaryotic translation initiation factor 3, subunit G",31.16,37.90,42.65,29.60,29.83
EIF3H,"eukaryotic translation initiation factor 3, subunit H",1.99,1.65,1.63,1.93,6.55
EIF3I,"eukaryotic translation initiation factor 3, subunit I",31.29,27.38,29.60,30.48,21.25
EIF3J,"eukaryotic translation initiation factor 3, subunit J",6.93,5.02,4.92,7.03,4.92
EIF3K,"eukaryotic translation initiation factor 3, subunit K",11.52,10.82,11.70,11.71,8.83
EIF3L,eukaryotic translation initiation factor 3 subunit L isoform 2 ,9.59,7.62,7.64,9.76,19.07
EIF3M,"eukaryotic translation initiation factor 3, subunit M",14.28,11.08,11.20,13.34,12.69
EIF4A1,eukaryotic translation initiation factor 4A1,257.30,226.59,228.15,252.37,139.48
EIF4A2,eukaryotic translation initiation factor 4A2,57.15,52.02,52.35,55.05,50.53
EIF4A3,eukaryotic translation initiation factor 4A3,17.79,13.25,13.11,16.93,7.71
EIF4B,eukaryotic translation initiation factor 4B,9.80,9.59,8.35,9.51,18.32
EIF4E,eukaryotic translation initiation factor 4E,1.40,1.29,1.24,1.39,0.73
EIF4E1B,eukaryotic translation initiation factor 4E family member 1B,0.00,0.00,0.00,0.01,0.00
EIF4E2,eukaryotic translation initiation factor 4E family member 2,3.45,3.52,3.52,3.33,2.22
EIF4E3,eukaryotic translation initiation factor 4E family member 3,0.32,0.29,0.20,0.34,0.02
EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1,0.94,0.98,1.00,0.97,0.97
EIF4G1,"eukaryotic translation initiation factor 4 gamma, 1",49.05,51.57,50.61,48.39,18.77
EIF4G2,"eukaryotic translation initiation factor 4 gamma, 2",131.02,104.17,106.28,128.62,54.64
EIF4G3,"eukaryotic translation initiation factor 4 gamma, 3",0.61,0.62,0.64,0.64,0.33
EIF4H,eukaryotic translation initiation factor 4H,15.73,13.64,12.46,15.52,12.67
EIF5,eukaryotic translation initiation factor 5,41.79,30.78,27.17,40.25,17.35
EIF5A,eukaryotic translation initiation factor 5A,126.79,120.44,130.76,129.16,58.02
EIF5A2,eukaryotic translation initiation factor 5A2,1.18,0.70,0.50,0.97,0.47
EIF5AL1,eukaryotic translation initiation factor 5A-like 1,49.92,54.99,57.34,51.05,22.51
EIF5B,eukaryotic translation initiation factor 5B,5.72,4.73,5.31,5.92,4.14
EIF6,eukaryotic translation initiation factor 6,27.71,26.23,29.59,26.82,15.19
ELAC1,elaC homolog 1 (E. coli),0.49,0.39,0.35,0.40,0.27
ELAC2,elaC homolog 2 (E. coli),7.91,7.46,6.99,7.95,4.05
ELAVL1,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)",4.01,3.98,4.01,3.98,2.29
ELAVL2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)",0.10,0.07,0.08,0.11,0.00
ELAVL3,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)",0.00,0.00,0.01,0.00,0.00
ELAVL4,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4",0.00,0.00,0.00,0.00,0.00
EMG1,Ribosomal RNA small subunit methyltransferase NEP1 ,9.36,6.36,6.42,8.47,5.20
ENDOG,endonuclease G,12.39,13.55,13.73,11.17,10.52
ENDOU,"endonuclease, polyU-specific",0.02,0.02,0.02,0.01,0.03
ENDOV,endonuclease V,0.34,0.50,0.49,0.33,0.43
ENOX1,ecto-NOX disulfide-thiol exchanger 1,0.00,0.00,0.01,0.00,0.00
ENOX2,ecto-NOX disulfide-thiol exchanger 2,0.11,0.09,0.08,0.10,0.11
EPRS,glutamyl-prolyl-tRNA synthetase,5.24,3.20,2.57,5.25,4.96
ERAL1,Era G-protein-like 1 (E. coli),16.24,14.90,14.93,16.58,10.26
ERI1,exoribonuclease 1,1.25,0.76,0.68,1.20,2.45
ERI2,ERI1 exoribonuclease family member 2,2.01,1.30,1.39,1.72,3.76
ERI3,ERI1 exoribonuclease family member 3,0.57,0.57,0.56,0.53,0.42
ERN1,endoplasmic reticulum to nucleus signaling 1,0.18,0.17,0.16,0.16,0.16
ERN2,endoplasmic reticulum to nucleus signaling 2,0.01,0.00,0.01,0.00,0.00
ESF1,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)",0.99,0.86,0.85,1.06,0.70
ESRP1,epithelial splicing regulatory protein 1,0.13,0.07,0.07,0.17,0.24
ESRP2,epithelial splicing regulatory protein 2,0.12,0.11,0.14,0.13,0.07
ETF1,eukaryotic translation termination factor 1,9.56,6.29,5.83,9.16,4.14
EWSR1,Ewing sarcoma breakpoint region 1,17.00,19.96,22.14,16.25,13.32
EXO1,exonuclease 1,2.25,1.71,1.53,2.19,1.43
EXOG,"endo/exonuclease (5'-3'), endonuclease G-like",0.84,0.70,0.58,0.75,0.58
EXOSC1,exosome component 1,3.33,2.67,3.10,3.22,3.11
EXOSC10,exosome component 10,5.05,5.32,5.58,4.91,4.19
EXOSC2,exosome component 2,7.49,6.48,6.49,7.40,5.74
EXOSC3,exosome component 3,9.13,6.62,6.60,8.65,4.77
EXOSC4,exosome component 4,13.35,15.55,17.42,13.63,7.06
EXOSC5,exosome component 5,2.23,2.51,3.25,2.47,3.35
EXOSC6,exosome component 6,4.86,5.54,6.01,5.32,6.77
EXOSC7,exosome component 7,1.37,1.16,1.15,1.37,1.58
EXOSC8,exosome component 8,8.41,6.31,6.71,7.93,8.96
EXOSC9,exosome component 9,9.81,7.86,7.76,9.13,4.78
EZH2,enhancer of zeste homolog 2 (Drosophila),1.42,1.34,1.42,1.25,1.00
FAM103A1,"family with sequence similarity 103, member A1",3.54,3.69,3.69,6.75,4.42
FAM120A,family with sequence similarity 120A,2.14,2.07,1.82,2.03,1.66
FAM120B,family with sequence similarity 120B,0.50,0.50,0.45,0.47,0.43
FAM120C,family with sequence similarity 120C,0.27,0.28,0.27,0.25,0.41
FAM46A,"family with sequence similarity 46, member A",1.36,0.94,0.47,0.94,3.22
FAM98A,"family with sequence similarity 98, member A",7.65,6.36,5.91,6.61,2.72
FAM98B,"family with sequence similarity 98, member B",2.71,1.95,1.85,2.82,2.17
FAM98C,"family with sequence similarity 98, member C",2.04,2.16,2.44,1.76,1.99
FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",0.04,0.04,0.04,0.04,0.04
FARSA,"phenylalanyl-tRNA synthetase, alpha subunit",14.91,18.16,19.89,15.25,12.62
FARSB,"phenylalanyl-tRNA synthetase, beta subunit",2.10,1.52,1.57,2.10,1.14
FASTK,Fas-activated serine/threonine kinase,11.22,13.30,16.35,11.18,8.74
FASTKD1,FAST kinase domains 1,1.57,1.16,1.17,1.49,1.37
FASTKD2,FAST kinase domains 2,2.50,1.68,0.01,2.78,1.71
FASTKD3,FAST kinase domains 3,3.34,2.15,2.10,3.05,2.18
FASTKD5,FAST kinase domains 5,6.05,4.32,3.91,5.60,2.74
FAU,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed,11.00,10.10,11.20,10.49,3.52
FBL,fibrillarin,27.44,25.75,26.06,28.65,24.52
FBLL1,fibrillarin-like 1,0.20,0.47,0.40,0.26,0.23
FBXO17,F-box protein 17,0.84,1.20,1.38,0.75,0.00
FCF1,FCF1 small subunit (SSU) processome component homolog (S. cerevisiae),2.39,1.82,1.80,2.39,1.81
FDXACB1,ferredoxin-fold anticodon binding domain containing 1,1.29,1.06,0.99,0.98,1.12
FIP1L1,FIP1 like 1 (S. cerevisiae),1.02,1.02,1.04,0.94,0.89
FMR1,fragile X mental retardation 1,3.84,3.13,2.51,3.84,1.91
FRG1,FSHD region gene 1,2.36,2.00,1.94,2.13,2.26
FRG1B,"FSHD region gene 1 family, member B",1.62,1.37,1.35,1.50,2.20
FTO,fat mass and obesity associated,0.11,0.10,0.07,0.11,0.06
FTSJ1,FtsJ RNA methyltransferase homolog 1 (E. coli),11.32,11.79,11.97,11.17,8.89
FTSJ2,FtsJ RNA methyltransferase homolog 2 (E. coli),9.49,7.99,8.12,9.06,4.62
FTSJ3,FtsJ homolog 3 (E. coli),16.43,16.90,18.10,16.22,6.96
FUBP1,far upstream element (FUSE) binding protein 1,7.53,8.01,8.47,7.24,6.82
FUBP3,far upstream element (FUSE) binding protein 3,2.13,2.35,2.20,2.15,0.97
FUS,fused in sarcoma,59.85,60.15,67.25,58.82,38.05
FXR1,"fragile X mental retardation, autosomal homolog 1",2.98,2.39,2.41,3.08,3.02
FXR2,"fragile X mental retardation, autosomal homolog 2",3.94,3.66,3.96,4.10,1.78
FYTTD1,forty-two-three domain containing 1,2.51,1.82,1.46,2.54,2.16
G3BP1,GTPase activating protein (SH3 domain) binding protein 1,9.28,7.48,7.12,9.03,4.29
G3BP2,GTPase activating protein (SH3 domain) binding protein 2,8.14,6.64,5.93,7.90,4.45
GAPDH,glyceraldehyde-3-phosphate dehydrogenase,797.69,744.68,797.39,839.25,536.18
GAR1,GAR1 ribonucleoprotein homolog (yeast),6.25,5.25,5.17,5.57,3.81
GARS,glycyl-tRNA synthetase,11.19,7.77,7.07,10.70,10.15
GATC,"glutamyl-tRNA(Gln) amidotransferase, subunit C",1.68,1.42,1.43,1.80,1.25
GCFC2,GC-rich sequence DNA-binding factor 2,1.07,0.80,0.84,1.06,0.82
GEMIN2,gem (nuclear organelle) associated protein 2,1.40,0.96,1.06,1.30,0.68
GEMIN4,gem (nuclear organelle) associated protein 4,14.65,13.21,12.72,15.08,7.91
GEMIN5,gem (nuclear organelle) associated protein 5,2.13,1.70,1.78,2.08,1.44
GEMIN6,gem (nuclear organelle) associated protein 6,4.47,3.83,3.84,4.19,2.21
GEMIN7,gem (nuclear organelle) associated protein 7,2.44,1.92,1.94,2.40,1.44
GEMIN8,gem (nuclear organelle) associated protein 8,0.57,0.58,0.57,0.53,1.81
GFM1,"G elongation factor, mitochondrial 1",2.64,1.87,1.68,2.62,1.95
GFM2,"G elongation factor, mitochondrial 2",2.03,1.66,1.63,2.04,1.36
GLE1,GLE1 RNA export mediator homolog (yeast),2.47,2.35,2.17,2.31,1.97
GLTSCR2,glioma tumor suppressor candidate region gene 2,5.91,7.42,7.32,6.08,21.71
GNL1,guanine nucleotide binding protein-like 1,6.27,6.16,6.15,6.13,3.17
GNL2,guanine nucleotide binding protein-like 2 (nucleolar),6.09,5.79,5.54,6.25,3.43
GNL3,guanine nucleotide binding protein-like 3 (nucleolar),32.14,31.03,31.30,32.48,22.68
GNL3L,guanine nucleotide binding protein-like 3 (nucleolar)-like,1.52,1.46,1.39,1.45,0.74
GPATCH1,G patch domain containing 1,0.40,0.40,0.37,0.38,0.34
GPATCH4,G patch domain containing 4,14.08,18.03,19.09,14.15,6.78
GPATCH8,G patch domain containing 8,0.77,0.89,0.85,0.79,0.55
GPKOW,G patch domain and KOW motifs,3.51,4.10,4.09,3.80,3.68
GRSF1,G-rich RNA sequence binding factor 1,10.33,6.55,5.78,9.59,5.51
GRWD1,glutamate-rich WD repeat containing 1,8.94,9.98,10.02,8.99,3.37
GSPT1,G1 to S phase transition 1,7.52,6.27,5.83,7.42,4.42
GSPT2,G1 to S phase transition 2,0.18,0.13,0.06,0.21,0.11
GTF2F1,"general transcription factor IIF, polypeptide 1, 74kDa",9.75,11.08,11.73,9.16,6.58
GTF3A,general transcription factor IIIA,9.15,7.29,8.22,8.27,6.08
GTPBP1,GTP binding protein 1,3.28,3.67,3.50,3.56,3.03
GTPBP10,GTP-binding protein 10 (putative),0.96,0.69,0.74,0.90,0.60
GTPBP2,GTP binding protein 2,8.69,8.89,10.14,8.35,6.63
GTPBP3,GTP binding protein 3 (mitochondrial),8.16,11.70,14.27,7.22,4.45
GTPBP4,GTP binding protein 4,7.36,5.91,6.16,7.21,4.50
GUF1,GUF1 GTPase homolog (S. cerevisiae),3.96,3.09,2.93,3.79,1.97
HABP4,hyaluronan binding protein 4,0.91,0.75,0.70,0.78,0.33
HARS,histidyl-tRNA synthetase,6.56,5.94,5.78,6.63,4.05
HARS2,"histidyl-tRNA synthetase 2, mitochondrial",6.20,5.00,4.87,6.36,6.17
HBS1L,HBS1-like (S. cerevisiae),0.73,0.56,0.45,0.64,0.41
HDLBP,high density lipoprotein binding protein,8.86,7.78,7.51,8.94,4.38
HEATR1,HEAT repeat containing 1,5.06,4.77,5.13,5.54,3.80
HELZ,helicase with zinc finger,0.49,0.46,0.44,0.50,0.48
HELZ2,"helicase with zinc finger 2, transcriptional coactivator",0.91,0.95,0.89,0.67,0.30
HENMT1,HEN1 methyltransferase homolog 1 (Arabidopsis),0.00,0.00,0.00,0.00,0.00
HEXIM1,hexamethylene bis-acetamide inducible 1,7.59,8.59,8.97,7.48,6.83
HEXIM2,hexamethylene bis-acetamide inducible 2,0.56,0.63,0.67,0.46,0.21
HINT3,histidine triad nucleotide binding protein 3,1.60,1.13,1.08,1.62,0.89
HNRNPA0,heterogeneous nuclear ribonucleoprotein A0,73.85,68.98,71.48,75.14,49.90
HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,283.51,229.30,229.47,281.49,380.92
HNRNPA1L2,heterogeneous nuclear ribonucleoprotein A1-like 2,4.96,4.39,4.28,5.05,6.75
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,220.37,199.63,204.44,220.43,131.99
HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,60.34,55.55,57.76,59.68,38.59
HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B,65.59,61.19,62.11,61.05,27.02
HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),16.83,16.24,17.14,16.92,10.51
HNRNPD,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",31.38,32.08,33.34,31.90,22.23
HNRNPDL,heterogeneous nuclear ribonucleoprotein D-like,80.73,73.95,73.89,80.72,77.22
HNRNPF,heterogeneous nuclear ribonucleoprotein F,28.70,27.63,26.88,28.46,13.69
HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 (H),77.00,83.81,87.14,72.54,63.66
HNRNPH2,heterogeneous nuclear ribonucleoprotein H2 (H'),47.94,42.34,34.71,46.87,29.92
HNRNPH3,heterogeneous nuclear ribonucleoprotein H3 (2H9),32.21,28.02,31.14,31.55,23.24
HNRNPK,heterogeneous nuclear ribonucleoprotein K,101.32,82.13,82.33,100.23,65.07
HNRNPL,heterogeneous nuclear ribonucleoprotein L,41.00,31.52,31.94,40.39,23.93
HNRNPLL,heterogeneous nuclear ribonucleoprotein L-like,1.33,0.83,0.86,1.32,0.13
HNRNPM,heterogeneous nuclear ribonucleoprotein M,14.05,11.70,12.54,13.66,5.70
HNRNPR,heterogeneous nuclear ribonucleoprotein R,15.34,15.32,16.25,15.43,9.44
HNRNPU,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A),87.78,80.69,84.12,87.06,47.08
HNRNPUL1,heterogeneous nuclear ribonucleoprotein U-like 1,9.73,12.20,12.85,9.97,8.05
HNRNPUL2,heterogeneous nuclear ribonucleoprotein U-like 2,15.76,15.47,15.52,16.16,10.00
HRSP12,heat-responsive protein 12,2.22,1.42,1.61,2.16,3.13
HTATSF1,HIV-1 Tat specific factor 1,14.83,13.38,14.71,14.46,7.84
IARS,isoleucyl-tRNA synthetase,5.26,2.61,2.71,5.18,5.30
IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",4.72,2.98,2.41,4.48,3.01
ICT1,immature colon carcinoma transcript 1,5.19,4.82,4.99,4.77,3.49
IFIH1,interferon induced with helicase C domain 1,0.13,0.06,0.00,0.09,0.44
IFIT1,interferon-induced protein with tetratricopeptide repeats 1,0.57,0.38,0.22,0.54,0.69
IFIT1B,interferon-induced protein with tetratricopeptide repeats 1B,0.01,0.00,0.00,0.00,0.01
IFIT2,interferon-induced protein with tetratricopeptide repeats 2,0.13,0.07,0.04,0.18,2.42
IFIT3,interferon-induced protein with tetratricopeptide repeats 3,0.17,0.11,0.17,0.16,1.99
IFIT5,interferon-induced protein with tetratricopeptide repeats 5,5.91,3.50,2.44,5.77,3.91
IGF2BP1,insulin-like growth factor 2 mRNA binding protein 1,4.01,3.86,4.96,4.12,0.42
IGF2BP2,insulin-like growth factor 2 mRNA binding protein 2,0.43,0.40,0.41,0.46,0.48
IGF2BP3,insulin-like growth factor 2 mRNA binding protein 3,0.77,0.69,0.61,0.75,0.38
IGHMBP2,immunoglobulin mu binding protein 2,0.99,1.12,1.08,0.99,0.71
ILF2,interleukin enhancer binding factor 2,53.26,48.39,49.28,53.63,27.62
ILF3,"interleukin enhancer binding factor 3, 90kDa",47.73,49.98,51.93,47.93,30.07
IMP3,"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)",7.11,6.03,5.88,13.86,10.11
IMP4,"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)",18.94,19.95,20.04,17.76,13.55
INTS1,integrator complex subunit 1,3.33,3.95,3.96,3.35,2.08
INTS10,integrator complex subunit 10,1.95,1.66,1.69,1.78,4.92
INTS12,integrator complex subunit 12,1.34,1.19,1.22,1.30,1.06
INTS2,integrator complex subunit 2,0.48,0.40,0.41,0.50,0.40
INTS3,integrator complex subunit 3,2.72,2.89,2.93,2.63,1.54
INTS4,integrator complex subunit 4,0.32,0.26,0.23,0.31,0.36
INTS5,integrator complex subunit 5,6.96,6.23,6.05,7.15,4.66
INTS6,integrator complex subunit 6,0.64,0.53,0.52,0.58,0.33
INTS7,integrator complex subunit 7,0.72,0.59,0.49,0.73,0.48
INTS8,integrator complex subunit 8,1.80,1.47,1.53,1.65,2.22
INTS9,integrator complex subunit 9,0.38,0.34,0.26,0.36,0.49
IPO11,importin 11,0.61,0.43,0.43,0.61,0.37
IPO13,importin 13,6.47,8.03,8.22,6.42,2.40
IPO4,importin 4,17.29,19.17,21.91,17.34,9.28
IPO5,importin 5,12.31,7.75,7.85,12.12,5.56
IPO7,importin 7,7.10,5.24,4.74,7.38,4.96
IPO8,importin 8,1.73,1.10,0.89,1.42,1.62
IPO9,importin 9,3.26,3.15,2.96,3.39,2.23
IREB2,iron-responsive element binding protein 2,2.80,1.94,1.83,5.29,3.72
ISG20,interferon stimulated exonuclease gene 20kDa,0.02,0.05,0.04,0.07,0.08
ISG20L2,interferon stimulated exonuclease gene 20kDa-like 2,16.70,15.53,14.48,16.35,9.66
ISY1,ISY1 splicing factor homolog (S. cerevisiae),1.66,1.69,1.50,1.71,1.66
JAKMIP1,janus kinase and microtubule interacting protein 1,0.00,0.00,0.00,0.00,0.00
KARS,lysyl-tRNA synthetase,14.51,11.90,13.12,14.16,11.84
KAT8,K(lysine) acetyltransferase 8,4.18,4.25,4.45,4.01,4.85
KHDC1,KH homology domain containing 1,0.11,0.06,0.03,0.11,0.07
KHDC1L,Putative KHDC1-like protein,0.09,0.05,0.04,0.06,0.01
KHDRBS1,"KH domain containing, RNA binding, signal transduction associated 1",13.01,10.72,9.94,12.80,9.72
KHDRBS2,"KH domain containing, RNA binding, signal transduction associated 2",0.00,0.00,0.00,0.00,0.02
KHDRBS3,"KH domain containing, RNA binding, signal transduction associated 3",0.12,0.08,0.07,0.10,0.11
KHNYN,KH and NYN domain containing,7.52,7.82,7.78,7.87,8.56
KHSRP,KH-type splicing regulatory protein,42.56,50.72,52.80,43.39,24.62
KIAA0020,KIAA0020,3.05,2.74,2.77,2.98,2.00
KIAA0391,mitochondrial ribonuclease P protein 3 isoform 4 ,0.45,0.34,0.31,0.43,0.43
KIAA0430,KIAA0430,0.84,0.84,0.76,0.77,1.14
KIN,"KIN, antigenic determinant of recA protein homolog (mouse)",0.49,0.44,0.43,0.46,0.42
KPNB1,karyopherin (importin) beta 1,29.49,24.82,25.05,30.26,14.72
KRR1,"KRR1, small subunit (SSU) processome component, homolog (yeast)",6.89,5.46,5.92,6.59,7.26
L1TD1,INE-1 type transposase domain containing 1,0.02,0.01,0.01,0.03,0.00
LARP1,"La ribonucleoprotein domain family, member 1",5.29,5.42,5.08,5.47,3.34
LARP1B,"La ribonucleoprotein domain family, member 1B",0.54,0.45,0.38,0.53,0.51
LARP4,"La ribonucleoprotein domain family, member 4",2.22,1.53,1.43,2.19,0.83
LARP4B,"La ribonucleoprotein domain family, member 4B",1.61,1.44,1.40,1.51,1.17
LARP6,"La ribonucleoprotein domain family, member 6",0.69,0.54,0.62,1.27,0.06
LARP7,"La ribonucleoprotein domain family, member 7",5.89,5.83,6.29,6.06,2.99
LARS,leucyl-tRNA synthetase,4.65,3.35,3.08,4.55,4.93
LARS2,"leucyl-tRNA synthetase 2, mitochondrial",0.84,0.69,0.67,0.80,0.33
LAS1L,LAS1-like (S. cerevisiae),9.40,10.32,11.05,9.55,8.86
LCMT2,leucine carboxyl methyltransferase 2,0.00,0.00,0.00,0.01,0.00
LENG9,Leukocyte receptor cluster (LRC) member 9 ,2.40,2.54,3.03,2.40,6.15
LIN28A,lin-28 homolog A (C. elegans),0.00,0.00,2.18,0.00,0.00
LIN28B,lin-28 homolog B (C. elegans),0.55,0.49,0.61,0.55,0.36
LONP1,"lon peptidase 1, mitochondrial",8.68,8.41,7.57,8.96,4.96
LRPPRC,leucine-rich pentatricopeptide repeat containing,3.63,2.59,2.31,3.73,3.95
LRRC47,leucine rich repeat containing 47,3.98,4.09,3.99,3.68,2.33
LRRFIP1,leucine rich repeat (in FLII) interacting protein 1,1.79,1.64,1.21,1.70,1.11
LRRFIP2,leucine rich repeat (in FLII) interacting protein 2,0.48,0.40,0.39,0.42,0.29
LSG1,large subunit GTPase 1 homolog (S. cerevisiae),4.08,3.73,3.60,3.83,2.05
LSM1,"LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)",3.93,3.17,2.90,3.59,3.94
LSM10,"LSM10, U7 small nuclear RNA associated",7.90,5.89,6.14,7.89,4.56
LSM11,"LSM11, U7 small nuclear RNA associated",1.91,1.37,1.05,1.88,1.48
LSM12,LSM12 homolog (S. cerevisiae),1.76,1.78,1.72,1.88,0.87
LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",3.49,2.97,3.11,3.34,2.69
LSM14B,"LSM14B, SCD6 homolog B (S. cerevisiae)",4.79,5.01,5.27,4.64,3.39
LSM2,"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)",6.43,6.35,6.17,6.73,5.90
LSM3,"LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)",3.97,2.84,3.07,3.88,2.53
LSM4,"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)",11.03,11.96,13.33,11.07,5.80
LSM5,"LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)",12.24,6.53,6.72,11.76,10.72
LSM6,"LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)",2.09,2.07,2.02,1.82,1.90
LSM7,"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)",6.57,8.58,9.69,6.99,6.65
LSMD1,LSM domain containing 1,27.51,32.95,31.68,27.43,18.29
LUC7L,LUC7-like (S. cerevisiae),1.99,1.94,1.99,1.88,1.06
LUC7L2,C7orf55-LUC7L2 protein ,2.44,2.49,2.26,2.46,1.81
LUC7L3,LUC7-like 3 (S. cerevisiae),6.25,6.55,6.70,6.32,11.87
LUZP4,leucine zipper protein 4,0.00,0.00,0.00,0.00,0.00
MAEL,maelstrom spermatogenic transposon silencer,0.00,0.00,0.00,0.00,0.00
MAGOH,"mago-nashi homolog, proliferation-associated (Drosophila)",5.40,4.66,5.20,5.34,3.19
MAGOHB,mago-nashi homolog B (Drosophila),5.38,3.95,4.13,5.08,2.35
MAK16,MAK16 homolog (S. cerevisiae),5.66,5.01,5.44,5.64,7.40
MARS,methionyl-tRNA synthetase,12.88,9.46,10.40,12.17,9.38
MARS2,"methionyl-tRNA synthetase 2, mitochondrial",14.12,9.81,9.50,14.72,15.85
MATR3,matrin 3,14.92,11.98,11.87,14.43,10.00
MAZ,MYC-associated zinc finger protein (purine-binding transcription factor),85.54,99.02,102.87,82.48,50.47
MBNL1,muscleblind-like splicing regulator 1,0.61,0.58,0.44,0.57,0.80
MBNL2,muscleblind-like splicing regulator 2,0.06,0.05,0.06,0.05,0.07
MBNL3,muscleblind-like splicing regulator 3,0.25,0.26,0.21,0.22,0.16
MCTS1,malignant T cell amplified sequence 1,7.40,4.64,4.59,7.31,5.10
MECP2,methyl CpG binding protein 2 (Rett syndrome),1.42,1.68,1.64,1.53,1.31
MEPCE,methylphosphate capping enzyme,13.51,16.48,16.88,12.88,8.77
METTL1,methyltransferase like 1,6.77,7.22,8.09,6.34,5.77
METTL10,methyltransferase like 10,0.52,0.32,0.33,0.55,0.73
METTL14,methyltransferase like 14,1.21,1.11,1.12,1.30,1.18
METTL2A,methyltransferase like 2A,2.11,1.78,1.60,2.09,1.04
METTL2B,methyltransferase like 2B,1.48,1.29,1.15,1.42,0.77
METTL3,methyltransferase like 3,9.59,8.82,9.02,8.96,10.85
METTL5,methyltransferase like 5,5.46,3.71,3.77,5.05,3.65
MEX3B,mex-3 homolog B (C. elegans),2.68,3.35,1.68,4.44,21.37
MIF4GD,MIF4G domain containing,3.94,3.69,3.23,4.17,3.59
MKRN1,makorin ring finger protein 1,3.23,2.50,2.20,3.27,3.12
MKRN2,makorin ring finger protein 2,2.19,1.70,1.71,2.12,2.18
MKRN3,makorin ring finger protein 3,0.00,0.01,0.06,0.01,0.00
MOV10,"Mov10, Moloney leukemia virus 10, homolog (mouse)",3.82,4.04,6.33,3.82,3.72
