Gene_ID,Transcript_ID,Gene,A11.C636,A11,E9,HAP1.C597,KBM7
ENSG00000006118.10,ENST00000005286.4,TMEM132A,3.73,4.48,4.77,3.68,1.36
ENSG00000135506.11,ENST00000439210.2,OS9,3.73,4.02,3.92,3.80,5.76
ENSG00000091527.11,ENST00000511392.1,CDV3,3.73,3.45,3.07,3.71,3.23
ENSG00000136279.14,ENST00000441840.3,DBNL,3.73,3.68,3.89,3.54,1.98
ENSG00000239306.4,ENST00000443702.1,RBM14,3.73,3.30,3.31,3.58,2.03
ENSG00000205981.2,ENST00000479269.1,DNAJC19,3.73,2.98,3.08,3.42,3.65
ENSG00000185591.5,ENST00000426431.2,SP1,3.72,3.79,3.86,3.66,4.16
ENSG00000112096.12,ENST00000444946.2,SOD2,3.72,3.47,3.35,3.54,3.65
ENSG00000152082.9,ENST00000281871.6,MZT2B,3.72,4.95,5.64,3.51,6.27
ENSG00000172366.15,ENST00000474840.1,FAM195A,3.72,4.96,5.93,3.56,2.27
ENSG00000142731.6,ENST00000515069.1,PLK4,3.72,3.48,3.62,3.86,4.25
ENSG00000147535.12,ENST00000531823.1,PPAPDC1B,3.72,3.06,2.68,3.10,9.77
ENSG00000198860.7,ENST00000423085.2,TSEN15,3.72,2.80,2.35,3.39,2.82
ENSG00000125505.12,ENST00000245615.1,MBOAT7,3.72,3.58,4.10,3.70,4.12
ENSG00000179862.5,ENST00000372638.2,CITED4,3.72,5.44,6.49,4.13,0.79
ENSG00000174238.10,ENST00000539476.1,PITPNA,3.72,3.37,3.08,3.66,1.68
ENSG00000143179.8,ENST00000470820.1,UCK2,3.72,3.61,3.71,3.65,1.99
ENSG00000221988.8,ENST00000361568.2,PPT2,3.72,3.85,3.88,3.67,3.72
ENSG00000108292.12,ENST00000325718.7,MLLT6,3.72,5.13,4.47,3.53,6.08
ENSG00000102081.9,ENST00000439526.2,FMR1,3.72,3.12,2.51,3.71,1.85
ENSG00000198715.7,ENST00000476177.2,C1orf85,3.72,4.21,0.08,3.12,0.04
ENSG00000006118.10,ENST00000453848.2,TMEM132A,3.71,4.47,4.76,3.66,1.34
ENSG00000136521.8,ENST00000359944.6,NDUFB5,3.71,2.20,2.08,3.49,3.25
ENSG00000156599.6,ENST00000527985.1,ZDHHC5,3.71,3.56,3.39,3.64,2.76
ENSG00000197894.6,ENST00000502386.1,ADH5,3.71,2.27,2.17,3.69,1.74
ENSG00000124444.11,ENST00000336564.4,ZNF576,3.71,3.87,3.70,3.64,1.65
ENSG00000198860.7,ENST00000361641.1,TSEN15,3.71,2.79,2.34,3.38,2.81
ENSG00000100243.16,ENST00000352397.5,CYB5R3,3.71,4.86,5.13,3.88,2.88
ENSG00000006282.15,ENST00000510917.1,SPATA20,3.71,4.45,4.56,3.56,4.64
ENSG00000178802.13,ENST00000535694.1,MPI,3.71,3.73,3.92,7.80,8.02
ENSG00000100983.5,ENST00000541098.1,GSS,3.71,4.21,4.30,3.65,4.92
ENSG00000140939.10,ENST00000568146.1,NOL3,3.71,4.52,5.18,3.59,2.76
ENSG00000132275.6,ENST00000254605.6,RRP8,3.71,3.60,3.61,3.57,2.89
ENSG00000115286.15,ENST00000233627.9,NDUFS7,3.71,4.95,5.31,3.77,3.27
ENSG00000001630.11,ENST00000450723.1,CYP51A1,3.71,2.41,1.47,3.27,1.41
ENSG00000149091.11,ENST00000454345.1,DGKZ,3.71,4.45,4.43,3.69,4.40
ENSG00000163159.7,ENST00000354473.4,VPS72,3.71,4.47,4.66,4.08,3.82
ENSG00000125505.12,ENST00000431666.2,MBOAT7,3.71,3.56,4.08,3.68,4.10
ENSG00000105968.14,ENST00000446531.1,H2AFV,3.71,3.50,3.36,3.71,3.92
ENSG00000138071.9,ENST00000542850.1,ACTR2,3.70,2.39,2.18,3.47,4.13
ENSG00000105732.9,ENST00000359044.4,ZNF574,3.70,4.08,4.64,3.91,4.21
ENSG00000124006.10,ENST00000373876.1,OBSL1,3.70,4.66,4.61,3.55,3.47
ENSG00000007923.11,ENST00000349363.6,DNAJC11,3.70,4.42,4.39,3.65,1.80
ENSG00000247596.4,ENST00000305533.5,TWF2,3.70,4.05,4.37,4.13,5.16
ENSG00000141140.12,ENST00000586908.1,MYO19,3.70,4.01,4.40,3.86,2.20
ENSG00000163608.10,ENST00000469169.1,C3orf17,3.70,2.77,4.08,3.65,2.64
ENSG00000151725.7,ENST00000510146.1,CENPU,3.70,2.59,2.61,3.27,2.52
ENSG00000257184.2,ENST00000470747.4,RP1-170O19.20,3.70,4.52,5.55,3.06,3.46
ENSG00000065548.13,ENST00000437396.1,ZC3H15,3.70,2.91,2.91,3.47,2.34
ENSG00000110880.6,ENST00000261401.3,CORO1C,3.70,2.94,1.90,3.94,1.91
ENSG00000111325.12,ENST00000454694.2,OGFOD2,3.70,4.23,4.77,3.59,3.70
ENSG00000144120.8,ENST00000409951.1,TMEM177,3.70,3.31,3.58,3.64,2.48
ENSG00000180917.12,ENST00000434935.2,CMTR2,3.70,2.85,2.61,3.47,2.63
ENSG00000141140.12,ENST00000591794.1,MYO19,3.70,4.01,4.40,3.86,2.20
ENSG00000103018.12,ENST00000561792.1,CYB5B,3.70,2.74,2.35,3.60,1.70
ENSG00000090061.13,ENST00000555049.1,CCNK,3.70,3.80,3.81,3.64,2.25
ENSG00000153443.8,ENST00000590891.1,UBALD1,3.70,6.31,7.66,4.20,4.69
ENSG00000101544.4,ENST00000262198.4,ADNP2,3.70,2.72,2.51,3.65,2.09
ENSG00000134077.11,ENST00000452837.2,THUMPD3,3.69,2.70,2.62,3.40,1.95
ENSG00000151502.6,ENST00000281187.5,VPS26B,3.69,3.21,2.85,3.48,2.77
ENSG00000170275.10,ENST00000449224.1,CRTAP,3.69,3.13,3.26,3.64,2.35
ENSG00000115419.8,ENST00000409215.1,GLS,3.69,2.35,1.58,3.93,3.21
ENSG00000136521.8,ENST00000259037.3,NDUFB5,3.69,2.19,2.07,3.48,3.23
ENSG00000256060.2,ENST00000596755.1,TRAPPC2P1,3.69,3.18,3.19,3.21,2.31
ENSG00000011485.10,ENST00000391919.1,PPP5C,3.69,3.79,3.90,3.58,2.21
ENSG00000101150.13,ENST00000369927.4,TPD52L2,3.69,4.04,4.05,4.00,2.01
ENSG00000109065.7,ENST00000583476.1,NAT9,3.69,3.65,3.89,3.79,4.20
ENSG00000117280.8,ENST00000414729.1,RAB7L1,3.69,3.53,2.43,3.70,1.94
ENSG00000124006.10,ENST00000404537.1,OBSL1,3.69,4.65,4.60,3.53,3.46
ENSG00000156853.7,ENST00000287461.3,ZNF689,3.69,3.86,4.20,3.70,1.94
ENSG00000152556.11,ENST00000547581.1,PFKM,3.69,3.37,3.11,3.60,0.19
ENSG00000156873.11,ENST00000424889.3,PHKG2,3.69,3.98,4.14,3.51,2.92
ENSG00000198055.6,ENST00000528793.1,GRK6,3.69,3.86,4.40,3.76,3.32
ENSG00000112096.12,ENST00000337404.4,SOD2,3.69,3.47,3.35,3.50,3.60
ENSG00000121900.14,ENST00000373463.3,TMEM54,3.69,3.48,4.06,3.17,1.63
ENSG00000108784.5,ENST00000225927.2,NAGLU,3.69,4.33,3.98,3.51,2.40
ENSG00000103510.15,ENST00000543774.2,KAT8,3.69,3.77,3.95,3.55,4.30
ENSG00000170633.12,ENST00000392464.2,RNF34,3.69,2.97,2.85,3.65,2.29
ENSG00000069849.6,ENST00000539728.1,ATP1B3,3.69,2.15,1.97,3.31,2.43
ENSG00000114779.15,ENST00000483233.1,ABHD14B,3.69,3.70,3.61,3.37,9.60
ENSG00000167925.11,ENST00000587427.1,GHDC,3.69,3.76,4.05,3.67,5.69
ENSG00000135454.9,ENST00000550764.1,B4GALNT1,3.69,3.30,3.82,3.06,1.18
ENSG00000180336.13,ENST00000409464.1,C17orf104,3.69,2.46,2.56,3.78,3.49
ENSG00000092820.13,ENST00000392177.4,EZR,3.69,4.03,3.85,3.76,1.91
ENSG00000146425.6,ENST00000367085.3,DYNLT1,3.69,3.01,2.85,3.45,1.71
ENSG00000069849.6,ENST00000286371.3,ATP1B3,3.69,2.15,1.97,3.31,2.43
ENSG00000069849.6,ENST00000465172.1,ATP1B3,3.69,2.15,1.97,3.31,2.43
ENSG00000170791.13,ENST00000517933.1,CHCHD7,3.69,1.85,1.71,3.28,6.22
ENSG00000142731.6,ENST00000507249.1,PLK4,3.69,3.47,3.61,3.82,4.20
ENSG00000124596.12,ENST00000468811.1,OARD1,3.69,3.95,3.74,3.85,4.63
ENSG00000142731.6,ENST00000270861.5,PLK4,3.69,3.45,3.59,3.82,4.21
ENSG00000186787.7,ENST00000333933.3,SPIN2B,3.69,3.76,4.35,3.70,7.19
ENSG00000166900.10,ENST00000533637.1,STX3,3.68,3.54,2.94,2.96,2.06
ENSG00000166900.10,ENST00000437946.2,STX3,3.68,3.54,2.94,2.96,2.06
ENSG00000119383.15,ENST00000436883.1,PPP2R4,3.68,4.39,4.62,3.63,2.21
ENSG00000171425.5,ENST00000587252.1,ZNF581,3.68,3.95,4.76,3.40,4.42
ENSG00000011485.10,ENST00000012443.4,PPP5C,3.68,3.79,3.89,3.57,2.20
ENSG00000178761.10,ENST00000563877.1,FAM219B,3.68,3.88,4.70,7.24,9.34
ENSG00000146826.10,ENST00000419037.1,C7orf43,3.68,4.02,4.54,3.52,3.01
ENSG00000111325.12,ENST00000536150.1,OGFOD2,3.68,4.08,4.60,3.53,3.56
ENSG00000186787.7,ENST00000374912.5,SPIN2B,3.68,3.75,4.35,3.70,7.18
ENSG00000167925.11,ENST00000414034.3,GHDC,3.68,3.75,4.04,3.67,5.68
ENSG00000128928.4,ENST00000487418.2,IVD,3.68,3.42,3.88,3.73,3.09
ENSG00000109065.7,ENST00000582524.1,NAT9,3.68,3.63,3.87,3.78,4.18
ENSG00000174013.7,ENST00000440469.1,FBXO45,3.68,2.25,1.90,3.45,2.58
ENSG00000107959.11,ENST00000380994.1,PITRM1,3.68,3.65,3.27,3.55,3.86
ENSG00000147535.12,ENST00000422581.2,PPAPDC1B,3.68,3.02,2.66,3.01,9.49
ENSG00000138092.6,ENST00000380834.2,CENPO,3.68,3.72,3.78,3.78,2.48
ENSG00000138092.6,ENST00000473706.1,CENPO,3.68,3.72,3.78,3.78,2.48
ENSG00000136243.12,ENST00000410002.3,NUPL2,3.68,2.76,2.78,3.33,2.44
ENSG00000124596.12,ENST00000479950.1,OARD1,3.68,3.63,3.56,3.63,4.55
ENSG00000117614.5,ENST00000236273.4,SYF2,3.68,3.22,3.69,3.59,5.70
ENSG00000109062.5,ENST00000262613.5,SLC9A3R1,3.68,3.43,2.77,3.36,2.17
ENSG00000136247.10,ENST00000335965.6,ZDHHC4,3.68,2.98,3.02,3.64,2.81
ENSG00000178188.10,ENST00000538342.1,SH2B1,3.68,5.34,5.66,3.28,2.93
ENSG00000152556.11,ENST00000340802.6,PFKM,3.68,3.36,3.09,3.59,0.19
ENSG00000172366.15,ENST00000491999.1,FAM195A,3.68,4.90,5.86,3.52,2.24
ENSG00000136247.10,ENST00000396709.1,ZDHHC4,3.67,2.99,3.02,3.63,2.81
ENSG00000130881.9,ENST00000253193.7,LRP3,3.67,5.09,4.47,3.45,1.11
ENSG00000166484.15,ENST00000299612.7,MAPK7,3.67,4.74,4.63,3.88,1.28
ENSG00000076928.13,ENST00000337665.4,ARHGEF1,3.67,5.00,4.40,3.26,4.52
ENSG00000121900.14,ENST00000329151.5,TMEM54,3.67,3.47,4.05,3.16,1.62
ENSG00000240771.2,ENST00000333972.7,ARHGEF25,3.67,4.24,4.10,3.78,1.84
ENSG00000109180.10,ENST00000506801.1,OCIAD1,3.67,2.73,2.93,3.54,3.29
ENSG00000164535.10,ENST00000436575.1,DAGLB,3.67,2.67,2.67,3.49,1.58
ENSG00000035862.8,ENST00000586057.1,TIMP2,3.67,3.52,3.63,2.58,2.33
ENSG00000136247.10,ENST00000405731.3,ZDHHC4,3.67,2.98,3.01,3.63,2.80
ENSG00000240857.1,ENST00000381249.3,RDH14,3.67,2.47,2.48,3.49,2.67
ENSG00000215012.4,ENST00000328554.4,C22orf29,3.67,3.99,4.02,3.85,4.88
ENSG00000100412.11,ENST00000396512.3,ACO2,3.67,4.10,3.96,3.82,2.50
ENSG00000111364.11,ENST00000540763.1,DDX55,3.67,4.34,4.73,3.38,2.59
ENSG00000168913.6,ENST00000399775.2,ENHO,3.67,3.96,4.38,3.69,0.19
ENSG00000100412.11,ENST00000216254.4,ACO2,3.67,4.10,3.96,3.82,2.50
ENSG00000163159.7,ENST00000368892.4,VPS72,3.67,4.41,4.61,4.03,3.78
ENSG00000090097.16,ENST00000461554.1,PCBP4,3.66,4.65,7.13,3.75,1.93
ENSG00000106638.11,ENST00000433464.1,TBL2,3.66,4.00,4.80,3.92,2.39
ENSG00000161265.10,ENST00000601236.1,U2AF1L4,3.66,5.20,5.90,3.88,6.87
ENSG00000151093.3,ENST00000448177.1,OXSM,3.66,2.43,2.08,3.88,3.74
ENSG00000090097.16,ENST00000471308.1,PCBP4,3.66,4.65,7.13,3.75,1.93
ENSG00000090097.16,ENST00000395013.3,PCBP4,3.66,4.65,7.13,3.75,1.93
ENSG00000141140.12,ENST00000431794.3,MYO19,3.66,3.95,4.33,3.82,2.21
ENSG00000168092.9,ENST00000530272.1,PAFAH1B2,3.66,2.86,2.68,3.60,1.92
ENSG00000090097.16,ENST00000428823.2,PCBP4,3.66,4.65,7.13,3.75,1.93
ENSG00000151093.3,ENST00000420173.2,OXSM,3.66,2.43,2.08,3.87,3.74
ENSG00000162585.12,ENST00000378543.2,C1orf86,3.66,4.80,5.51,3.08,1.38
ENSG00000146826.10,ENST00000316937.3,C7orf43,3.66,4.00,4.51,3.50,2.99
ENSG00000076928.13,ENST00000378152.4,ARHGEF1,3.66,4.99,4.39,3.25,4.51
ENSG00000163349.17,ENST00000406344.1,HIPK1,3.66,3.03,2.95,3.71,2.66
ENSG00000214046.4,ENST00000487803.1,SMIM7,3.66,3.19,3.10,3.64,2.18
ENSG00000136045.7,ENST00000541166.1,PWP1,3.66,2.76,2.79,3.44,2.16
ENSG00000090097.16,ENST00000355852.2,PCBP4,3.66,4.64,7.12,3.75,1.93
ENSG00000035862.8,ENST00000585421.1,TIMP2,3.66,3.51,3.62,2.58,2.33
ENSG00000119383.15,ENST00000355007.3,PPP2R4,3.66,3.35,3.38,3.69,2.41
ENSG00000166946.9,ENST00000562553.1,CCNDBP1,3.66,3.06,2.83,3.54,4.92
ENSG00000165169.6,ENST00000378581.3,DYNLT3,3.66,2.49,2.38,3.47,1.89
ENSG00000119383.15,ENST00000357197.4,PPP2R4,3.66,3.35,3.38,3.69,2.41
ENSG00000119383.15,ENST00000347048.4,PPP2R4,3.66,3.35,3.38,3.69,2.41
ENSG00000172366.15,ENST00000307650.4,FAM195A,3.66,4.88,5.83,3.50,2.23
ENSG00000146063.14,ENST00000315073.5,TRIM41,3.66,4.40,4.83,3.27,2.23
ENSG00000203667.5,ENST00000366528.3,COX20,3.66,4.31,4.30,3.53,7.44
ENSG00000136247.10,ENST00000396713.2,ZDHHC4,3.66,2.97,3.01,3.63,2.79
ENSG00000136247.10,ENST00000396707.2,ZDHHC4,3.66,2.97,3.01,3.63,2.79
ENSG00000115524.11,ENST00000414174.1,SF3B1,3.66,3.32,3.29,3.70,3.44
ENSG00000163608.10,ENST00000473284.1,C3orf17,3.66,2.73,4.02,3.60,2.60
ENSG00000146063.14,ENST00000351937.5,TRIM41,3.66,4.40,4.83,3.27,2.23
ENSG00000166484.15,ENST00000308406.5,MAPK7,3.65,4.71,4.60,3.85,1.27
ENSG00000107371.8,ENST00000465229.1,EXOSC3,3.65,2.99,2.91,3.37,2.49
ENSG00000178802.13,ENST00000563786.1,MPI,3.65,3.72,3.91,7.69,7.86
ENSG00000111897.6,ENST00000339697.4,SERINC1,3.65,2.50,2.44,3.51,2.79
ENSG00000133226.12,ENST00000600523.1,SRRM1,3.65,2.96,3.11,3.42,5.36
ENSG00000119383.15,ENST00000348141.5,PPP2R4,3.65,3.34,3.37,3.68,2.40
ENSG00000119383.15,ENST00000337738.1,PPP2R4,3.65,3.34,3.37,3.68,2.40
ENSG00000151093.3,ENST00000280701.3,OXSM,3.65,2.42,2.07,3.86,3.72
ENSG00000124571.13,ENST00000265351.7,XPO5,3.65,2.99,3.03,3.77,2.37
ENSG00000124383.4,ENST00000244230.2,MPHOSPH10,3.65,3.46,3.70,3.96,2.76
ENSG00000112763.11,ENST00000429381.1,BTN2A1,3.65,3.82,3.89,3.56,2.55
ENSG00000119383.15,ENST00000393370.2,PPP2R4,3.65,3.34,3.37,3.68,2.40
ENSG00000127418.10,ENST00000264748.6,FGFRL1,3.65,4.61,5.59,3.06,1.95
ENSG00000136930.8,ENST00000259457.3,PSMB7,3.65,3.37,3.70,3.50,2.66
ENSG00000215012.4,ENST00000405640.1,C22orf29,3.65,3.97,4.00,3.83,4.85
ENSG00000143224.13,ENST00000544598.1,PPOX,3.65,3.80,4.56,3.44,3.79
ENSG00000145782.8,ENST00000500945.2,ATG12,3.65,3.06,2.65,3.21,3.44
ENSG00000112763.11,ENST00000377600.2,BTN2A1,3.65,3.82,3.89,3.56,2.55
ENSG00000124006.10,ENST00000265318.4,OBSL1,3.65,4.59,4.54,3.49,3.42
ENSG00000196154.7,ENST00000368715.1,S100A4,3.65,2.73,1.54,5.06,49.56
ENSG00000162585.12,ENST00000378546.4,C1orf86,3.65,4.78,5.48,3.07,1.37
ENSG00000241878.5,ENST00000266095.5,PISD,3.64,3.72,4.00,3.42,3.69
ENSG00000166260.6,ENST00000571584.1,COX11,3.64,2.32,2.30,3.23,1.60
ENSG00000117593.8,ENST00000239457.5,DARS2,3.64,2.94,2.72,3.49,1.88
ENSG00000131043.7,ENST00000373932.3,AAR2,3.64,3.42,3.13,3.66,2.30
ENSG00000196510.8,ENST00000455511.3,ANAPC7,3.64,3.13,3.14,3.75,2.41
ENSG00000124587.9,ENST00000304611.8,PEX6,3.64,3.41,3.49,3.16,3.87
ENSG00000198408.9,ENST00000370094.3,MGEA5,3.64,3.46,3.98,3.89,4.86
ENSG00000141002.14,ENST00000263347.7,TCF25,3.64,3.96,4.19,3.52,4.18
ENSG00000117593.8,ENST00000361951.4,DARS2,3.64,2.96,2.73,3.49,1.88
ENSG00000136521.8,ENST00000468210.1,NDUFB5,3.64,2.20,2.07,3.44,3.21
ENSG00000215012.4,ENST00000407472.1,C22orf29,3.64,3.96,3.99,3.82,4.84
ENSG00000079616.8,ENST00000570173.1,KIF22,3.64,3.75,4.33,3.79,3.32
ENSG00000131043.7,ENST00000320849.4,AAR2,3.64,3.42,3.13,3.66,2.30
ENSG00000163291.10,ENST00000395594.2,PAQR3,3.64,2.55,2.14,3.09,2.75
ENSG00000168876.4,ENST00000544253.1,ANKRD49,3.64,3.13,2.98,3.17,6.89
ENSG00000112763.11,ENST00000312541.5,BTN2A1,3.64,3.81,3.88,3.55,2.55
ENSG00000171806.7,ENST00000303469.2,METTL18,3.64,2.14,2.01,3.13,5.62
ENSG00000175482.4,ENST00000539074.1,POLD4,3.64,3.33,2.64,3.59,6.51
ENSG00000184007.13,ENST00000356536.3,PTP4A2,3.64,3.50,3.42,3.50,4.24
ENSG00000166946.9,ENST00000567434.1,CCNDBP1,3.64,3.04,2.82,3.53,4.89
ENSG00000118900.10,ENST00000396658.4,UBN1,3.64,3.54,3.05,3.66,2.41
ENSG00000178188.10,ENST00000337120.5,SH2B1,3.64,5.15,5.43,3.19,2.89
ENSG00000090487.6,ENST00000416889.2,SPG21,3.64,2.56,1.87,6.58,5.32
ENSG00000185551.8,ENST00000394166.3,NR2F2,3.64,4.29,3.96,3.57,0.00
ENSG00000088833.13,ENST00000353088.2,NSFL1C,3.63,3.80,3.79,3.40,3.21
ENSG00000198612.6,ENST00000419015.1,COPS8,3.63,2.79,2.51,3.37,1.73
ENSG00000187531.9,ENST00000575360.1,SIRT7,3.63,4.76,4.76,3.10,2.07
ENSG00000096696.9,ENST00000418664.2,DSP,3.63,2.78,2.18,3.74,0.02
ENSG00000188603.12,ENST00000357806.7,CLN3,3.63,4.08,2.85,3.37,2.66
ENSG00000141140.12,ENST00000268852.9,MYO19,3.63,3.95,4.34,3.79,2.18
ENSG00000100300.13,ENST00000329563.4,TSPO,3.63,3.26,3.10,3.66,4.36
ENSG00000198055.6,ENST00000393576.3,GRK6,3.63,3.80,4.33,3.70,3.26
ENSG00000139168.3,ENST00000266529.3,ZCRB1,3.63,3.76,3.53,3.58,3.46
ENSG00000214046.4,ENST00000599310.1,SMIM7,3.63,3.19,3.10,3.56,2.14
ENSG00000158769.13,ENST00000368026.6,F11R,3.63,2.61,2.86,4.07,2.80
ENSG00000140416.15,ENST00000558544.1,TPM1,3.63,3.98,5.59,10.61,0.73
ENSG00000148335.10,ENST00000459968.2,NTMT1,3.63,3.53,3.80,3.44,1.41
ENSG00000100814.13,ENST00000398160.2,CCNB1IP1,3.63,2.96,3.03,3.24,5.70
ENSG00000071082.6,ENST00000409650.1,RPL31,3.63,2.83,2.73,3.24,3.36
ENSG00000241878.5,ENST00000397500.1,PISD,3.63,3.70,4.00,3.40,3.66
ENSG00000105443.9,ENST00000391881.3,CYTH2,3.63,5.62,6.02,3.57,3.26
ENSG00000140939.10,ENST00000268605.7,NOL3,3.63,4.49,5.13,3.48,2.71
ENSG00000138095.14,ENST00000260665.7,LRPPRC,3.63,2.59,2.31,3.73,3.95
ENSG00000071082.6,ENST00000409038.1,RPL31,3.63,2.83,2.73,3.24,3.35
ENSG00000133612.14,ENST00000335367.3,AGAP3,3.63,4.01,3.66,3.56,2.01
ENSG00000168092.9,ENST00000529887.2,PAFAH1B2,3.62,2.83,2.65,3.56,1.90
ENSG00000037749.7,ENST00000436816.1,MFAP3,3.62,2.67,2.37,3.32,2.42
ENSG00000109685.13,ENST00000382888.3,WHSC1,3.62,4.10,4.26,3.67,2.33
ENSG00000177576.6,ENST00000582392.1,C18orf32,3.62,2.57,2.39,3.68,2.41
ENSG00000180340.5,ENST00000315323.3,FZD2,3.62,3.33,5.13,4.20,4.42
ENSG00000140416.15,ENST00000404484.4,TPM1,3.62,3.97,5.58,10.60,0.73
ENSG00000088833.13,ENST00000555944.1,NSFL1C,3.62,3.79,3.78,3.39,3.20
ENSG00000147533.12,ENST00000357743.4,GOLGA7,3.62,2.61,2.59,3.08,3.79
ENSG00000100441.5,ENST00000556842.1,KHNYN,3.62,3.76,3.87,3.79,3.80
ENSG00000088833.13,ENST00000476071.1,NSFL1C,3.62,3.78,3.78,3.39,3.20
ENSG00000188603.12,ENST00000333496.9,CLN3,3.62,4.07,2.85,3.36,2.66
ENSG00000165795.16,ENST00000555695.1,NDRG2,3.62,3.87,3.32,3.52,2.31
ENSG00000119328.7,ENST00000322940.6,FAM206A,3.62,3.02,2.91,3.57,1.84
ENSG00000198055.6,ENST00000355472.5,GRK6,3.62,3.79,4.32,3.69,3.25
ENSG00000178202.8,ENST00000323468.5,KDELC2,3.62,2.91,2.58,3.58,2.24
ENSG00000109046.10,ENST00000427287.2,WSB1,3.62,4.00,4.20,3.60,5.58
ENSG00000140995.12,ENST00000563594.1,DEF8,3.62,3.48,3.43,3.38,2.06
ENSG00000142731.6,ENST00000513090.1,PLK4,3.62,3.40,3.54,3.74,4.11
ENSG00000188603.12,ENST00000355477.5,CLN3,3.62,4.07,2.84,3.36,2.65
ENSG00000188603.12,ENST00000354630.5,CLN3,3.62,4.07,2.84,3.36,2.65
ENSG00000109083.9,ENST00000579419.1,IFT20,3.62,2.77,2.82,3.56,3.04
ENSG00000173914.7,ENST00000524637.1,RBM4B,3.62,3.66,3.85,3.51,2.32
ENSG00000069849.6,ENST00000462082.1,ATP1B3,3.62,2.07,1.90,3.24,2.39
ENSG00000096696.9,ENST00000379802.3,DSP,3.62,2.77,2.17,3.72,0.02
ENSG00000127483.13,ENST00000375000.1,HP1BP3,3.62,4.27,4.35,3.58,4.95
ENSG00000119383.15,ENST00000358994.4,PPP2R4,3.62,3.31,3.34,3.64,2.38
ENSG00000111325.12,ENST00000538755.1,OGFOD2,3.62,4.11,4.63,3.53,3.55
ENSG00000139880.15,ENST00000267383.5,CDH24,3.62,4.13,5.26,3.31,3.13
ENSG00000139880.15,ENST00000554034.1,CDH24,3.62,4.13,5.26,3.31,3.13
ENSG00000188603.12,ENST00000357857.9,CLN3,3.61,4.05,2.83,3.35,2.67
ENSG00000143224.13,ENST00000539753.1,PPOX,3.61,3.74,4.50,3.47,3.81
ENSG00000188603.12,ENST00000567963.1,CLN3,3.61,4.06,2.84,3.36,2.65
ENSG00000198431.11,ENST00000542918.1,TXNRD1,3.61,2.94,3.04,3.34,1.36
ENSG00000198431.11,ENST00000524698.1,TXNRD1,3.61,2.94,3.04,3.34,1.36
ENSG00000143374.10,ENST00000438568.2,TARS2,3.61,3.91,3.74,3.67,2.73
ENSG00000063245.10,ENST00000411543.2,EPN1,3.61,4.60,5.33,3.84,2.12
ENSG00000109083.9,ENST00000395418.3,IFT20,3.61,2.77,2.82,3.56,3.04
ENSG00000128609.10,ENST00000471770.1,NDUFA5,3.61,2.54,2.18,3.25,1.70
ENSG00000143224.13,ENST00000367999.4,PPOX,3.61,3.76,4.52,3.41,3.75
ENSG00000188603.12,ENST00000359984.7,CLN3,3.61,4.06,2.84,3.35,2.65
ENSG00000121057.8,ENST00000337714.3,AKAP1,3.61,3.92,3.15,3.53,1.93
ENSG00000163684.7,ENST00000445193.3,RPP14,3.61,3.02,2.82,3.29,1.99
ENSG00000163811.7,ENST00000407426.3,WDR43,3.61,3.17,3.17,3.55,2.70
ENSG00000093000.14,ENST00000396096.2,NUP50,3.61,3.48,3.17,3.35,2.10
ENSG00000109083.9,ENST00000585089.1,IFT20,3.61,2.76,2.81,3.55,3.04
ENSG00000147533.12,ENST00000405786.2,GOLGA7,3.61,2.60,2.58,3.07,3.77
ENSG00000141295.9,ENST00000583090.1,SCRN2,3.61,4.00,3.29,3.45,7.02
ENSG00000143224.13,ENST00000352210.5,PPOX,3.61,3.75,4.51,3.40,3.75
ENSG00000152700.9,ENST00000509937.1,SAR1B,3.61,1.91,1.81,3.43,1.44
ENSG00000196262.9,ENST00000479021.1,PPIA,3.61,3.84,3.72,3.31,2.98
ENSG00000075399.8,ENST00000561976.1,VPS9D1,3.61,4.95,6.45,3.36,0.94
ENSG00000115289.8,ENST00000233630.6,PCGF1,3.61,3.57,3.60,3.63,3.42
ENSG00000167881.10,ENST00000591272.1,SRP68,3.61,2.84,3.01,3.62,2.34
ENSG00000105821.10,ENST00000249270.7,DNAJC2,3.61,3.22,3.15,3.61,2.35
ENSG00000108433.11,ENST00000225567.4,GOSR2,3.60,3.29,3.39,3.39,2.49
ENSG00000162367.7,ENST00000294339.3,TAL1,3.60,2.78,0.05,2.78,5.39
ENSG00000168078.5,ENST00000522944.1,PBK,3.60,2.59,1.92,3.78,1.67
ENSG00000109083.9,ENST00000357896.3,IFT20,3.60,2.76,2.81,3.54,3.03
ENSG00000162367.7,ENST00000371883.3,TAL1,3.60,2.78,0.05,2.78,5.39
ENSG00000124596.12,ENST00000482515.1,OARD1,3.60,3.89,3.74,3.70,4.43
ENSG00000198898.8,ENST00000458284.2,CAPZA2,3.60,2.07,0.92,1.64,0.87
ENSG00000179820.11,ENST00000391769.2,MYADM,3.60,3.88,5.51,3.22,6.07
ENSG00000166965.8,ENST00000555155.1,RCCD1,3.60,3.57,4.15,3.78,5.17
ENSG00000140374.11,ENST00000560309.1,ETFA,3.60,2.29,1.87,7.23,7.30
ENSG00000234631.1,ENST00000451472.1,AL162407.1,3.60,3.18,3.25,3.43,2.94
ENSG00000103429.6,ENST00000566710.1,BFAR,3.60,3.26,3.23,3.70,2.13
